,Absolute Time,Block,Trial,Color,Trial Time,Phase,Phase Time,Rating
0,25.6866543931,1,1,2,2.49030860141,square,2.49030799791,25
1,25.8116215277,1,1,2,2.61527573643,square,2.61527483072,25
2,25.936685862,1,1,2,2.74034158001,square,2.7403421835,25
3,26.0615965487,1,1,2,2.86525105918,square,2.86525136093,25
4,26.1752547631,1,1,2,2.97891108459,square,2.9789119903,25
5,26.3002741197,1,1,2,3.10392893245,square,3.1039292342,25
6,26.4252983066,1,1,2,3.22895402461,square,3.22895462811,25
7,26.5503593204,1,1,2,3.35401624581,square,3.35401805677,25
8,26.6753228325,1,1,2,3.47897885274,square,3.47898005974,25
9,26.800299325,1,1,2,3.60395383602,square,3.60395413777,25
10,26.9253552072,1,1,2,3.72901152913,square,3.72901273612,26
11,27.0190878785,1,1,2,3.82274389826,square,3.82274420001,26
12,27.1441235361,1,1,2,3.94778076326,square,3.94778287597,26
13,27.2691293089,1,1,2,4.07278532907,square,4.07278623432,27
14,27.394078332,1,1,2,4.19773314474,square,4.19773314474,28
15,27.5191731541,1,1,2,4.32283007959,square,4.32283128705,28
16,27.6441819458,1,1,2,4.44783736207,square,4.44783796556,29
17,27.7691502883,1,1,2,4.57280661026,square,4.57280751551,29
18,27.8941427795,1,1,2,4.6977975918,square,4.69779668609,30
19,28.0191512695,1,1,2,4.82280789316,square,4.82280940237,30
20,28.144147383,1,1,2,4.94780279929,square,4.94780340279,30
21,28.2692068871,1,1,2,5.07286381256,square,5.07286562398,31
22,28.394163759,1,1,2,5.19781947695,square,5.19782008044,31
23,28.519247714,1,1,2,5.3229037337,square,5.32290494116,32
24,28.6442118301,1,1,2,5.44786754809,square,5.44786815206,32
25,28.7692257534,1,1,2,5.57288298104,square,5.57288449025,33
26,28.8942342433,1,1,2,5.69788845209,square,5.69788784813,33
27,29.0193055202,1,1,2,5.82296063472,square,5.82296063472,34
28,29.1441959827,1,1,2,5.94784988929,square,5.94784928579,34
29,29.2692379788,1,1,2,6.07289460255,square,6.07289611176,34
