filename: GalbraithHeat2-23996-2-May_24_1723
subject: 23996
session: 2
date: May_24_1723

Absolute Time,Block,Trial,Color,Trial Time, Phase, Phase Time, Rating
40.8203884771,1,1,4,1.64527649409,square,1.64527589036,27
40.9453740255,1,1,4,1.77026355173,square,1.77026355197,27
41.0390762088,1,1,4,1.86396392388,square,1.8639630184,27
41.1641176015,1,1,4,1.98900622223,square,1.98900652421,27
41.2890587763,1,1,4,2.11394588766,square,2.11394437845,27
41.4141276383,1,1,4,2.23901565536,square,2.23901535361,27
41.5390920565,1,1,4,2.36398007348,square,2.36397946975,27
41.6640990372,1,1,4,2.48898705398,square,2.48898645048,27
41.7890782463,1,1,4,2.61396535789,square,2.61396415043,27
41.9141471083,1,1,4,2.73903572909,square,2.73903572932,27
42.0391157526,1,1,4,2.86400376959,square,2.86400346784,27
42.1642425719,1,1,4,2.98913270188,square,2.98913300387,28
42.2891493347,1,1,4,3.11403735168,square,3.11403674795,28
42.4141243179,1,1,4,3.23901142925,square,3.23901022202,29
42.5391497121,1,1,4,3.3640383326,square,3.36403803085,29
42.6642028773,1,1,4,3.48909270531,square,3.48909330927,30
42.7892001981,1,1,4,3.6140888189,square,3.61408881913,30
42.914141373,1,1,4,3.73902848456,square,3.7390272771,30
43.0392011793,1,1,4,3.86408980004,square,3.86409010203,30
43.1642682301,1,1,4,3.98915836005,square,3.98915896402,30
43.2892133291,1,1,4,4.1141016481,square,4.1141016481,30
43.4141720119,1,1,4,4.23905912344,square,4.23905791598,30
43.5391832185,1,1,4,4.36407093378,square,4.36407002807,30
43.6642460434,1,1,4,4.48913526791,square,4.48913556966,30
43.7892249508,1,1,4,4.61411296786,square,4.61411236413,30
43.914235252,1,1,4,4.73912326875,square,4.739122967,30
44.0392334785,1,1,4,4.8641205898,square,4.86411938234,30
44.164225366,1,1,4,4.98911368474,square,4.989113383,30
44.2892181589,1,1,4,5.11410527048,square,5.11410436477,30
44.4142172912,1,1,4,5.23910470447,square,5.23910349701,30
44.5392553634,1,1,4,5.36414398393,square,5.36414368218,30
44.664214348,1,1,4,5.48910145927,square,5.48910025205,30
44.7892575518,1,1,4,5.6141455688,square,5.61414466333,30
44.9143333568,1,1,4,5.73922258103,square,5.73922227928,30
45.0392992841,1,1,4,5.86418760289,square,5.86418699939,30
45.1642932845,1,1,4,5.98918130156,square,5.98918099981,30
45.2892906056,1,1,4,6.11417801888,square,6.11417650967,30
45.4143724476,1,1,4,6.23926137015,square,6.2392610684,30
45.5393063778,1,1,4,6.36419499852,square,6.36419469677,30
45.6642744183,1,1,4,6.48916183156,square,6.4891606241,30
45.7893544491,1,1,4,6.61424246617,square,6.61424186244,30
45.9143931251,1,1,4,6.73928265134,square,6.73928295332,30
46.0393451669,1,1,4,6.86423288216,square,6.86423227843,31
46.1644067843,1,1,4,6.98929600883,square,6.98929631081,31
46.2893274326,1,1,4,7.11421544966,square,7.11421484593,31
46.4144412719,1,1,4,7.23933049641,square,7.23933110014,31
46.5393507513,1,1,4,7.36423907033,square,7.3642384666,31
46.6643474686,1,1,4,7.48923548567,square,7.48923488194,31
46.7893586752,1,1,4,7.61424669228,square,7.6142457868,31
46.9144368949,1,1,4,7.73932581767,square,7.73932611942,31
47.0393877295,1,1,4,7.86427574628,square,7.8642748408,31
47.1644445169,1,1,4,7.98933374137,square,7.9893337416,31
47.2894436491,1,1,4,8.11433045869,square,8.1143286475,31
47.4144832306,1,1,4,8.23937034211,square,8.2393688329,31
47.5395496779,1,1,4,8.36443739291,square,8.36443618545,31
47.6644126708,1,1,4,8.48930038582,square,8.48929978209,31
47.789450139,1,1,4,8.61433936353,square,8.61433906178,32
47.9144486676,1,1,4,8.73933668458,square,8.73933608085,32
48.039479797,1,1,4,8.8643690215,square,8.86436932324,32
48.1644614213,1,1,4,8.98934943811,square,8.98934913636,32
48.2895438669,1,1,4,9.11443309137,square,9.1144330916,32
48.4144913808,1,1,4,9.23937939783,square,9.23937879433,32
48.5395056061,1,1,4,9.36439513229,square,9.36439543427,32
48.6644401399,1,1,4,9.48932725145,square,9.48932604399,32
48.7894939091,1,1,4,9.6143819259,square,9.6143813224,32
48.9145567338,1,1,4,9.73944595829,square,9.73944626027,32
49.0394526294,1,1,4,9.8643400427,square,9.86433853349,32
49.1645543943,1,1,4,9.98944331706,square,9.98944331706,32
49.2894979841,1,1,4,10.1143850954,square,10.1143838882,32
49.4145517531,1,1,4,10.2394406756,square,10.2394409776,32
49.539614276,1,1,4,10.3645053117,square,10.3645065192,32
49.6645515268,1,1,4,10.4894401475,square,10.4894398456,32
49.7895120208,1,1,4,10.6143991321,square,10.6143979246,32
49.914564884,1,1,4,10.7394538065,square,10.739453203,32
50.0395960135,1,1,4,10.8644855397,square,10.8644864454,32
50.1645966549,1,1,4,10.9894852757,square,10.9894852757,32
50.2895339057,1,1,4,11.114421017,square,11.1144198095,32
50.4145937117,1,1,4,11.2394826345,square,11.2394823325,32
50.5395336791,1,1,4,11.3644207907,square,11.3644195832,32
50.664591976,1,1,4,11.489480295,square,11.4894796913,32
50.7896062012,1,1,4,11.6144945202,square,11.6144939165,32
50.9146524237,1,1,4,11.7395416482,square,11.7395416482,32
51.039618653,1,1,4,11.8645069718,square,11.8645063683,32
51.1646286522,1,1,4,11.9895172729,square,11.9895169712,32
51.289648009,1,1,4,12.114536026,square,12.1145351205,32
51.4146827608,1,1,4,12.2395716833,square,12.2395716833,32
51.5395843918,1,1,4,12.364471805,square,12.3644705978,32
51.6528221136,1,1,4,12.4777104326,square,12.4777098289,32
51.7539953568,1,1,4,12.5788836756,square,12.5788827701,32
51.8790340328,1,1,4,12.7039232573,square,12.7039235593,32
52.0039915082,1,1,4,12.8288795252,square,12.8288789215,32
52.1290845191,1,1,4,12.9539743473,square,12.9539752528,32
52.2540259957,1,1,4,13.0789146165,square,13.0789143147,32
52.3789668689,1,1,4,13.2038539802,square,13.2038527727,32
52.5040381458,1,1,4,13.3289270683,square,13.3289270683,32
52.6290475412,1,1,4,13.4539352562,square,13.4539346525,32
52.7540113556,1,1,4,13.5788984669,square,13.5788972594,32
52.8790491258,1,1,4,13.7039383503,square,13.7039383503,32
53.0099765062,1,1,4,13.8348636176,square,13.8348621083,33
53.1290965935,1,1,4,13.953985516,square,13.9539852142,33
53.2540305236,1,1,4,14.0789176351,square,14.0789164277,33
53.3790806704,1,1,4,14.2039695929,square,14.2039695929,33
53.5040592758,1,1,4,14.3289469911,square,14.3289463874,34
53.6291281381,1,1,4,14.4540176643,square,14.4540179663,34
53.7541061398,1,1,4,14.5789941568,square,14.5789935533,34
53.8791994527,1,1,4,14.7040892807,square,14.7040898846,34
54.0041173841,1,1,4,14.8290057031,square,14.8290050994,34
54.1290827079,1,1,4,14.9539701212,square,14.953968612,34
54.2541419105,1,1,4,15.079030531,square,15.079030833,34
54.3791292699,1,1,4,15.2040169851,square,15.2040166834,34
54.5041637199,1,1,4,15.3290532462,square,15.3290538499,34
54.6291411179,1,1,4,15.4540291349,square,15.4540285314,34
54.7541348166,1,1,4,15.5790222299,square,15.5790210227,34
54.8791888875,1,1,4,15.70407781,square,15.70407781,34
55.0041216102,1,1,4,15.8290084198,square,15.8290072123,34
55.1291904722,1,1,4,15.9540790929,square,15.9540787912,34
55.2541793413,1,1,4,16.0790670563,square,16.0790664526,34
55.3792017165,1,1,4,16.204091243,square,16.2040915447,34
55.5041661346,1,1,4,16.3290541517,square,16.3290538499,34
55.6295800239,1,1,4,16.4544671352,square,16.4544653243,34
55.7546398302,1,1,4,16.5795272433,square,16.5795263378,34
55.8795804011,1,1,4,16.7044690219,square,16.7044687201,34
56.0045399896,1,1,4,16.829427101,square,16.8294258937,35
56.1296112665,1,1,4,16.9544998873,square,16.9544998873,35
56.2546034558,1,1,4,17.0794914728,square,17.0794905673,36
56.3796303591,1,1,4,17.2045198856,square,17.2045198856,36
56.5046198319,1,1,4,17.329507547,square,17.3295072452,36
56.6296521686,1,1,4,17.4545422988,square,17.4545432043,36
56.7546280576,1,1,4,17.5795166784,square,17.5795163764,36
56.8795788919,1,1,4,17.7044657015,square,17.704464494,36
57.0045680627,1,1,4,17.8294566832,square,17.8294563815,36
57.1295810805,1,1,4,17.9544675881,square,17.9544654752,36
57.2548250218,1,1,4,18.0797127369,square,18.0797115297,36
57.379687109,1,1,4,18.2045739186,square,18.2045727114,36
57.5047761959,1,1,4,18.3296654203,square,18.3296657221,36
57.6297146538,1,1,4,18.4546017654,square,18.4546002562,36
57.7547708377,1,1,4,18.5796597605,square,18.5796594585,36
57.8797470285,1,1,4,18.7046347435,square,18.70463414,36
58.0047971751,1,1,4,18.8296863995,square,18.8296867015,36
58.1297739695,1,1,4,18.9546625903,square,18.9546619866,36
58.2547634421,1,1,4,19.0796505536,square,19.0796493462,36
58.3797903454,1,1,4,19.2046792682,square,19.2046792682,36
58.5047466136,1,1,4,19.3296337249,square,19.3296325174,36
58.6298227201,1,1,4,19.4547116428,square,19.4547113408,36
58.7548127964,1,1,4,19.5797008134,square,19.5797002099,36
58.8798357756,1,1,4,19.7047253018,square,19.7047256038,36
59.0048204185,1,1,4,19.8297087373,square,19.8297081336,36
59.1299034681,1,1,4,19.9547929943,square,19.954793598,36
59.2548346813,1,1,4,20.0797230003,square,20.0797226985,36
59.3797897419,1,1,4,20.2046765513,square,20.2046756458,36
59.5048546796,1,1,4,20.3297433003,square,20.3297429986,36
59.629925353,1,1,4,20.4548136718,square,20.454813068,36
59.7548076648,1,1,4,20.5796950781,square,20.5796938706,36
59.8798665653,1,1,4,20.7047554881,square,20.7047551863,36
60.0048521138,1,1,4,20.8297392253,square,20.8297380179,36
60.1299025624,1,1,4,20.9547914849,square,20.9547914851,36
60.2548325683,1,1,4,21.0797196797,square,21.0797187742,36
60.3799017323,1,1,4,21.2047906548,square,21.2047906548,36
60.5048773193,1,1,4,21.3297653364,square,21.3297644306,36
60.6299389366,1,1,4,21.454828161,square,21.454828463,36
60.7548595848,1,1,4,21.5797476019,square,21.5797469981,36
60.879978556,1,1,4,21.7048680822,square,21.7048686859,37
61.0108528088,1,1,4,21.8357411276,square,21.8357405239,37
61.1298922992,1,1,4,21.9547794105,square,21.954778203,37
61.2549524072,1,1,4,22.079841028,square,22.0798413297,37
61.3799452002,1,1,4,22.2048332172,square,22.2048323117,37
61.482480742,1,1,4,22.3073693628,square,22.307369061,37
61.6074994951,1,1,4,22.4323872104,square,22.432386305,37
61.7329049322,1,1,4,22.5577959679,square,22.5577965716,37
61.8575086265,1,1,4,22.6823972473,square,22.6823972473,37
61.9825041364,1,1,4,22.8073912477,square,22.8073900405,37
62.1075512643,1,1,4,22.9324398851,square,22.9324401871,37
62.2326113724,1,1,4,23.0574993894,square,23.0574984839,37
62.3575794129,1,1,4,23.1824692411,square,23.1824695431,37
62.4825604334,1,1,4,23.3074484505,square,23.307447545,37
62.6076021281,1,1,4,23.4324913523,square,23.432492258,37
62.7327944511,1,1,4,23.5576830718,square,23.5576824683,37
62.857639936,1,1,4,23.6825297642,square,23.682530368,37
62.9825916761,1,1,4,23.8074802968,square,23.8074802968,37
63.1075397937,1,1,4,23.932426905,square,23.9324253958,37
63.6388048963,1,1,4,24.4636926113,full,0.531205635983,39
63.6701576894,1,1,4,24.4950454044,full,0.562559938291,39
