filename: GalbraithHeat2-10926-9-May_24_0937
subject: 10926
session: 9
date: May_24_0937

Absolute Time,Block,Trial,Color,Trial Time, Phase, Phase Time, Rating
Block,Color,Circ1,Circ2,Circ3,Circ4,Full,Avg
60.3130703,1,1,1,1621863467.15,square,1621863467.15,25
60.3966644,1,1,1,1621863467.23,square,1621863467.23,25
60.4799581,1,1,1,1621863467.31,square,1621863467.31,25
60.5632428001,1,1,1,1621863467.4,square,1621863467.4,25
60.6464206,1,1,1,1621863467.48,square,1621863467.48,25
60.7298014001,1,1,1,1621863467.56,square,1621863467.56,25
60.8298374,1,1,1,1621863467.67,square,1621863467.67,24
60.9129843001,1,1,1,1621863467.75,square,1621863467.75,24
60.9963911,1,1,1,1621863467.83,square,1621863467.83,24
61.0794789001,1,1,1,1621863467.91,square,1621863467.91,23
61.1628141,1,1,1,1621863468.0,square,1621863468.0,23
61.2460942001,1,1,1,1621863468.08,square,1621863468.08,23
61.3293264001,1,1,1,1621863468.16,square,1621863468.16,22
61.4128954001,1,1,1,1621863468.25,square,1621863468.25,22
61.4961006,1,1,1,1621863468.34,square,1621863468.34,22
61.5791967,1,1,1,1621863468.42,square,1621863468.42,22
61.6625029,1,1,1,1621863468.5,square,1621863468.5,21
61.7458030001,1,1,1,1621863468.58,square,1621863468.58,21
61.8291706,1,1,1,1621863468.67,square,1621863468.67,21
61.9290013,1,1,1,1621863468.76,square,1621863468.77,21
62.0124477,1,1,1,1621863468.85,square,1621863468.85,21
62.0956883001,1,1,1,1621863468.94,square,1621863468.94,21
62.1789618001,1,1,1,1621863469.02,square,1621863469.02,21
62.2621437,1,1,1,1621863469.1,square,1621863469.1,21
62.3456491,1,1,1,1621863469.19,square,1621863469.19,20
62.4452396,1,1,1,1621863469.28,square,1621863469.28,20
62.5286788001,1,1,1,1621863469.36,square,1621863469.36,20
62.6120352,1,1,1,1621863469.45,square,1621863469.45,19
62.6954312001,1,1,1,1621863469.54,square,1621863469.54,19
62.7786096,1,1,1,1621863469.62,square,1621863469.62,19
62.8618336001,1,1,1,1621863469.7,square,1621863469.7,19
62.9452746001,1,1,1,1621863469.79,square,1621863469.79,18
63.0284603001,1,1,1,1621863469.86,square,1621863469.86,18
63.1117421001,1,1,1,1621863469.95,square,1621863469.95,18
63.1947272001,1,1,1,1621863470.03,square,1621863470.03,18
63.2784466001,1,1,1,1621863470.12,square,1621863470.12,18
63.3616812001,1,1,1,1621863470.19,square,1621863470.19,17
63.4450624001,1,1,1,1621863470.29,square,1621863470.29,17
63.5287246001,1,1,1,1621863470.37,square,1621863470.37,17
63.6281003001,1,1,1,1621863470.47,square,1621863470.47,17
63.7117266001,1,1,1,1621863470.55,square,1621863470.55,17
63.7952263,1,1,1,1621863470.63,square,1621863470.63,17
63.8948949,1,1,1,1621863470.74,square,1621863470.74,17
63.9946164,1,1,1,1621863470.83,square,1621863470.83,16
64.0780716001,1,1,1,1621863470.91,square,1621863470.91,16
64.1613958001,1,1,1,1621863471.0,square,1621863471.0,16
64.2445915,1,1,1,1621863471.08,square,1621863471.08,16
64.3277846001,1,1,1,1621863471.16,square,1621863471.16,15
64.4111165,1,1,1,1621863471.24,square,1621863471.24,15
64.4942072,1,1,1,1621863471.33,square,1621863471.33,15
64.5776620001,1,1,1,1621863471.41,square,1621863471.41,15
64.6609404001,1,1,1,1621863471.5,square,1621863471.5,15
64.7442589001,1,1,1,1621863471.58,square,1621863471.58,15
64.8275256001,1,1,1,1621863471.66,square,1621863471.66,14
64.9275154,1,1,1,1621863471.77,square,1621863471.77,14
65.0103473001,1,1,1,1621863471.85,square,1621863471.85,14
65.0940462,1,1,1,1621863471.93,square,1621863471.93,14
65.1775343,1,1,1,1621863472.02,square,1621863472.02,13
65.2772380001,1,1,1,1621863472.12,square,1621863472.12,13
65.3607952,1,1,1,1621863472.2,square,1621863472.2,13
65.4604776,1,1,1,1621863472.3,square,1621863472.3,12
65.5608600001,1,1,1,1621863472.4,square,1621863472.4,12
65.6605093001,1,1,1,1621863472.5,square,1621863472.5,12
65.7436868,1,1,1,1621863472.58,square,1621863472.58,11
65.8271946,1,1,1,1621863472.67,square,1621863472.67,11
65.910399,1,1,1,1621863472.75,square,1621863472.75,11
66.0101622001,1,1,1,1621863472.84,square,1621863472.84,11
66.0934872001,1,1,1,1621863472.93,square,1621863472.93,10
66.1767642001,1,1,1,1621863473.01,square,1621863473.01,10
66.2767278,1,1,1,1621863473.11,square,1621863473.11,10
66.3768579001,1,1,1,1621863473.22,square,1621863473.22,9
66.4600952,1,1,1,1621863473.3,square,1621863473.3,9
66.5433072001,1,1,1,1621863473.38,square,1621863473.38,9
66.6266761001,1,1,1,1621863473.47,square,1621863473.47,9
66.7100248,1,1,1,1621863473.55,square,1621863473.55,8
66.7931268001,1,1,1,1621863473.63,square,1621863473.63,8
66.8766168001,1,1,1,1621863473.72,square,1621863473.72,8
66.9595771,1,1,1,1621863473.8,square,1621863473.8,8
67.0431206001,1,1,1,1621863473.88,square,1621863473.88,8
67.1261545001,1,1,1,1621863473.96,square,1621863473.96,7
67.2262515001,1,1,1,1621863474.06,square,1621863474.06,7
67.3093894001,1,1,1,1621863474.14,square,1621863474.14,7
67.3927858,1,1,1,1621863474.23,square,1621863474.23,6
67.4760210001,1,1,1,1621863474.32,square,1621863474.32,6
67.5592744,1,1,1,1621863474.4,square,1621863474.4,6
67.6426842001,1,1,1,1621863474.48,square,1621863474.48,6
67.7422964,1,1,1,1621863474.58,square,1621863474.58,5
67.8256154001,1,1,1,1621863474.67,square,1621863474.67,5
67.9090821,1,1,1,1621863474.74,square,1621863474.74,5
67.9923802001,1,1,1,1621863474.83,square,1621863474.83,5
68.0754159001,1,1,1,1621863474.91,square,1621863474.91,5
68.1589733,1,1,1,1621863475.0,square,1621863475.0,5
68.2591874,1,1,1,1621863475.1,square,1621863475.1,5
68.3590467001,1,1,1,1621863475.2,square,1621863475.2,5
68.4426418,1,1,1,1621863475.28,square,1621863475.28,5
68.5426318001,1,1,1,1621863475.38,square,1621863475.38,5
68.6419940001,1,1,1,1621863475.48,square,1621863475.48,5
68.7254903,1,1,1,1621863475.57,square,1621863475.57,5
68.8252594001,1,1,1,1621863475.66,square,1621863475.66,5
68.9085589,1,1,1,1621863475.74,square,1621863475.74,5
68.9918292001,1,1,1,1621863475.83,square,1621863475.83,5
69.0753194001,1,1,1,1621863475.92,square,1621863475.92,5
69.1590231,1,1,1,1621863476.0,square,1621863476.0,5
69.2583083,1,1,1,1621863476.1,square,1621863476.1,5
69.3417901001,1,1,1,1621863476.18,square,1621863476.18,5
69.4251237001,1,1,1,1621863476.27,square,1621863476.27,5
69.5085380001,1,1,1,1621863476.35,square,1621863476.35,5
69.6081206,1,1,1,1621863476.44,square,1621863476.44,5
69.6915579,1,1,1,1621863476.53,square,1621863476.53,5
69.7747928001,1,1,1,1621863476.62,square,1621863476.62,5
69.8747741,1,1,1,1621863476.72,square,1621863476.72,5
69.9581654001,1,1,1,1621863476.8,square,1621863476.8,5
70.041514,1,1,1,1621863476.88,square,1621863476.88,5
70.1245165,1,1,1,1621863476.96,square,1621863476.96,5
70.2079213001,1,1,1,1621863477.04,square,1621863477.04,5
70.3077347,1,1,1,1621863477.14,square,1621863477.14,5
70.3908699,1,1,1,1621863477.23,square,1621863477.23,5
70.4743489,1,1,1,1621863477.31,square,1621863477.31,5
70.5576274,1,1,1,1621863477.39,square,1621863477.39,5
70.6409174,1,1,1,1621863477.48,square,1621863477.48,5
70.7243296,1,1,1,1621863477.56,square,1621863477.56,5
70.8071113001,1,1,1,1621863477.65,square,1621863477.65,5
70.8907504,1,1,1,1621863477.73,square,1621863477.73,5
70.9741425001,1,1,1,1621863477.81,square,1621863477.81,5
71.0573406001,1,1,1,1621863477.89,square,1621863477.89,5
71.1406377001,1,1,1,1621863477.98,square,1621863477.98,5
71.2240464,1,1,1,1621863478.06,square,1621863478.06,5
71.3069717,1,1,1,1621863478.15,square,1621863478.15,5
71.3904994001,1,1,1,1621863478.23,square,1621863478.23,5
71.4737756001,1,1,1,1621863478.31,square,1621863478.31,5
71.5570597,1,1,1,1621863478.39,square,1621863478.39,5
71.6403542,1,1,1,1621863478.48,square,1621863478.48,5
71.7236457,1,1,1,1621863478.56,square,1621863478.56,5
71.8065308001,1,1,1,1621863478.65,square,1621863478.65,5
71.8902352001,1,1,1,1621863478.73,square,1621863478.73,5
71.9736396001,1,1,1,1621863478.81,square,1621863478.81,5
72.0569424001,1,1,1,1621863478.89,square,1621863478.9,5
72.1401122001,1,1,1,1621863478.98,square,1621863478.98,5
72.2233825,1,1,1,1621863479.06,square,1621863479.06,5
72.3066612,1,1,1,1621863479.15,square,1621863479.15,5
72.3904842001,1,1,1,1621863479.23,square,1621863479.23,5
72.4897331001,1,1,1,1621863479.33,square,1621863479.33,5
72.5733198001,1,1,1,1621863479.41,square,1621863479.41,5
72.6564908001,1,1,1,1621863479.5,square,1621863479.5,5
72.7564422,1,1,1,1621863479.6,square,1621863479.6,5
72.8398169001,1,1,1,1621863479.68,square,1621863479.68,5
72.9231356001,1,1,1,1621863479.76,square,1621863479.76,5
73.0064668,1,1,1,1621863479.85,square,1621863479.85,5
73.0897511001,1,1,1,1621863479.93,square,1621863479.93,5
73.1729457,1,1,1,1621863480.01,square,1621863480.01,5
73.2560683,1,1,1,1621863480.1,square,1621863480.1,5
73.3395066001,1,1,1,1621863480.17,square,1621863480.17,5
73.4226501001,1,1,1,1621863480.26,square,1621863480.26,5
73.5061447,1,1,1,1621863480.35,square,1621863480.35,5
73.6061019,1,1,1,1621863480.45,square,1621863480.45,5
73.6893626001,1,1,1,1621863480.52,square,1621863480.52,5
73.7722318,1,1,1,1621863480.61,square,1621863480.61,5
73.8559391,1,1,1,1621863480.7,square,1621863480.7,5
73.9392188,1,1,1,1621863480.78,square,1621863480.78,5
74.0220783,1,1,1,1621863480.86,square,1621863480.86,5
74.1058145,1,1,1,1621863480.95,square,1621863480.95,5
74.1895917001,1,1,1,1621863481.03,square,1621863481.03,5
74.2889883,1,1,1,1621863481.13,square,1621863481.13,5
74.3723588,1,1,1,1621863481.21,square,1621863481.21,5
74.4555742,1,1,1,1621863481.29,square,1621863481.29,5
74.538604,1,1,1,1621863481.38,square,1621863481.38,5
74.6222449001,1,1,1,1621863481.46,square,1621863481.46,5
74.7055050001,1,1,1,1621863481.55,square,1621863481.55,5
74.7888094001,1,1,1,1621863481.63,square,1621863481.63,5
74.8720173,1,1,1,1621863481.71,square,1621863481.71,5
74.9552116001,1,1,1,1621863481.79,square,1621863481.79,5
75.0385738,1,1,1,1621863481.87,square,1621863481.87,5
75.1214909001,1,1,1,1621863481.96,square,1621863481.96,5
75.2050513,1,1,1,1621863482.04,square,1621863482.04,5
75.2884332001,1,1,1,1621863482.13,square,1621863482.13,5
75.3883326,1,1,1,1621863482.23,square,1621863482.23,5
75.4715593001,1,1,1,1621863482.31,square,1621863482.31,5
75.5549065,1,1,1,1621863482.4,square,1621863482.4,5
75.6381824,1,1,1,1621863482.48,square,1621863482.48,5
75.7216479001,1,1,1,1621863482.56,square,1621863482.56,5
75.7382282,1,1,1,1621863482.58,full,1621863482.58,5
75.7546502,1,1,1,1621863482.59,full,1621863482.59,5
75.7712962,1,1,1,1621863482.6,full,1621863482.6,5
75.7879494,1,1,1,1621863482.62,full,1621863482.62,5
75.8042942,1,1,1,1621863482.64,full,1621863482.64,5
75.8212796,1,1,1,1621863482.65,full,1621863482.65,5
75.8379418,1,1,1,1621863482.67,full,1621863482.67,5
75.8545309,1,1,1,1621863482.69,full,1621863482.69,5
75.8712952001,1,1,1,1621863482.71,full,1621863482.71,5
75.887979,1,1,1,1621863482.72,full,1621863482.73,5
75.9048772,1,1,1,1621863482.74,full,1621863482.74,5
75.9212723001,1,1,1,1621863482.76,full,1621863482.76,5
