,Absolute Time,Block,Trial,Color,Trial Time,Phase,Phase Time
0,32.448510874999556,1,1,3,2.1770774590004294,square,2.177077457999985
1,34.453019999999924,1,1,3,4.181586167000205,square,4.181585999999697
2,36.45660599999974,1,1,3,6.185172167000019,square,6.185172000000421
3,38.46139799999946,1,1,3,8.189964167000653,square,8.189964166000209
4,40.465821166999376,1,1,3,10.194387417000144,square,10.194387249999636
5,40.469358332999946,1,1,3,10.197924084000078,full,0.0035077079992333893
6,40.470732957999644,1,1,3,10.199298917000306,full,0.004882457999883627
7,40.471851624999545,1,1,3,10.200417292000566,full,0.00600087499969959
8,40.472891499999605,1,1,3,10.201457250000203,full,0.007040957999379316
9,40.47642362500028,1,1,3,10.20498979200056,full,0.010573582999313658
10,40.489690166999935,1,1,3,10.21825600000011,full,0.023839707999286475
11,40.49259925000024,1,1,3,10.221165208999992,full,0.026749040999675344
12,40.50629574999948,1,1,3,10.234861667000587,full,0.040445332999297534
13,40.509557917000166,1,1,3,10.238123916999939,full,0.043707665999136225
14,40.52324608300023,1,1,3,10.251812292000068,full,0.05739612499928626
15,40.52613395800017,1,1,3,10.25470100000075,full,0.06028570799935551
16,40.53956337499949,1,1,3,10.268129500000214,full,0.0737133749998975
17,40.547489707999375,1,1,3,10.276055625000481,full,0.0816393329996572
18,40.54945362499984,1,1,3,10.278019500000482,full,0.08360329099923547
19,40.56464420799966,1,1,3,10.293210750000071,full,0.09879512499992416
20,40.566363041999466,1,1,3,10.294929209000657,full,0.10051308299989614
21,40.58111041699976,1,1,3,10.309676959000171,full,0.1152609159998974
22,40.589186291999795,1,1,3,10.31775241700052,full,0.12333633299931535
23,40.59280804199989,1,1,3,10.32137425000019,full,0.12695816599989485
24,40.60640995799986,1,1,3,10.334976584000287,full,0.1405605829995693
25,40.609773332999794,1,1,3,10.33833954200054,full,0.14392362499984301
26,40.62266499999987,1,1,3,10.35123137500068,full,0.15681545799998275
27,40.6313419170001,1,1,3,10.359908750000614,full,0.16549304099953588
28,40.63420391699947,1,1,3,10.362770375000764,full,0.16835462499966525
29,40.648146417000135,1,1,3,10.376712875000521,full,0.18229716599944368
30,40.658156082999994,1,1,3,10.38672250000036,full,0.1923067079997054
31,40.67329791700013,1,1,3,10.401864917000239,full,0.2074493749996691
32,40.67626687499978,1,1,3,10.404833292000149,full,0.21041741599947272
33,40.69032474999949,1,1,3,10.4188911250003,full,0.22447504100000515
34,40.69809229200018,1,1,3,10.426658542000041,full,0.23224254099932296
35,40.700387625000076,1,1,3,10.428953958999955,full,0.23453799999970215
36,40.71469799999977,1,1,3,10.443264834000729,full,0.24884920799922838
37,40.718031583000084,1,1,3,10.446598042000005,full,0.2521823749993928
38,40.731454707999546,1,1,3,10.460022000000208,full,0.2656062909991306
39,40.7396158749998,1,1,3,10.468182750000778,full,0.2737670829992567
40,40.74335249999967,1,1,3,10.471919000000526,full,0.2775032909994479
41,40.756454332999965,1,1,3,10.485020959000394,full,0.2906054579998454
42,40.76470816700021,1,1,3,10.4932749590007,full,0.2988593329992
43,40.76707691699994,1,1,3,10.495643542000835,full,0.30122770799971477
44,40.78147474999969,1,1,3,10.510041500000625,full,0.3156258749995686
45,40.78334625000025,1,1,3,10.511912959000256,full,0.31749724999917817
46,40.79798679199939,1,1,3,10.526553417000287,full,0.3321379579992936
47,40.80625158299972,1,1,3,10.534818417000679,full,0.3404028749991994
48,40.80907429199942,1,1,3,10.53764104200036,full,0.343225290999726
49,40.823211249999986,1,1,3,10.551778000000013,full,0.357362457999443
50,40.82645629199942,1,1,3,10.55502400000023,full,0.3606092499994702
51,40.83966537499964,1,1,3,10.568232292000175,full,0.3738168329991822
52,40.848023083000044,1,1,3,10.576590250000663,full,0.3821746659996279
53,40.8510562499996,1,1,3,10.579623375000665,full,0.3852080409997143
54,40.8644360419994,1,1,3,10.593006500000229,full,0.39859141599936265
55,40.872911999999815,1,1,3,10.601479375000054,full,0.4070644159992298
56,40.87697304199992,1,1,3,10.605539791999945,full,0.411124249999375
57,40.889742166999895,1,1,3,10.618309041999964,full,0.4238935829998809
58,40.89323512499959,1,1,3,10.621801917000084,full,0.4273864999995567
59,40.90663945799952,1,1,3,10.635207250000349,full,0.4407921659994827
60,40.91432541699942,1,1,3,10.642892374999974,full,0.4484770409999328
61,40.91806749999978,1,1,3,10.646634417000314,full,0.4522189999997863
62,40.93140037499961,1,1,3,10.659967542000231,full,0.465552249999746
63,40.934549707999395,1,1,3,10.663116542000353,full,0.4687011659998461
64,40.94833941700017,1,1,3,10.676907042000494,full,0.4824919159991623
65,40.95643704199938,1,1,3,10.685004459000083,full,0.4905893749992174
66,40.959607166999376,1,1,3,10.688174834000165,full,0.49375987499934126
67,40.97324441699948,1,1,3,10.701811875000203,full,0.5073965829997178
68,40.97633808299997,1,1,3,10.70490508400053,full,0.5104897499995786
69,40.9899534999995,1,1,3,10.718520625000565,full,0.5241054579992124
70,40.99805612499949,1,1,3,10.72662345900062,full,0.5322083329992893
71,41.00159837499996,1,1,3,10.73016537500007,full,0.5357502079996266
72,41.01497324999946,1,1,3,10.743540500000563,full,0.5491252499996335
73,41.022945875000005,1,1,3,10.75151308400018,full,0.557097832999716
74,41.02597845799937,1,1,3,10.754545542000415,full,0.5601304159999927
75,41.0397095419994,1,1,3,10.7682778340004,full,0.5738630409996404
76,41.04824254199957,1,1,3,10.776809875000254,full,0.5823946249993242
77,41.05118008299996,1,1,3,10.779746917000011,full,0.5853316659995471
78,41.06488795799942,1,1,3,10.793456000000333,full,0.5990411659995516
